##########################################################

2

Block1
Adder0: -1:Y1, 0:Y1, 1:Y1, 2:Y1, 
Adder1: -1:Y2, 0:Y2, 1:Y2, 2:Y2, 
Adder2: -1:Y3, 0:Y3, 1:Y3, 2:Y3, 
Adder3: -1:Y4, 0:Y4, 1:Y4, 2:Y4, 
Adder4: -1:Y5, 0:Y5, 1:Y5, 2:Y5, 
Adder5: -2:Y1, -1:Y6, 0:Y6, 1:Y6, 
Adder6: -2:Y2, -1:Y7, 0:Y7, 1:Y7, 
Adder7: -2:Y3, -1:Y8, 0:Y8, 1:Y8, 
Adder8: -2:Y4, -1:Y9, 0:Y9, 1:Y9, 
Adder9: -2:Y5, -1:Y10, 0:Y10, 1:Y10, 
Adder10: -3:Y1, -2:Y6, -1:Y11, 0:Y11, 
Adder11: -3:Y2, -2:Y7, -1:Y12, 0:Y12, 
Adder12: -3:Y3, -2:Y8, -1:Y13, 0:Y13, 
Adder13: -3:Y4, -2:Y9, -1:Y14, 0:Y14, 
Adder14: -3:Y5, -2:Y10, -1:Y15, 0:Y15, 
Adder15: -3:Y6, -2:Y11, -1:Y16, 0, 

##########################################################

26

Block1
Adder0: -1:Y1, 0:Y1, 1:Y1, 2:Y1, 
Adder1: -1:Y2, 0:Y2, 1:Y2, 2:Y2, 
Adder2: -2:Y1, -1:Y3, 0:Y3, 1:Y3, 
Adder3: -2:Y2, -1:Y4, 0:Y4, 1:Y4, 
Adder4: -2:Y3, -1:Y5, 0:Y5, 1:Y5, 
Adder5: -3:Y1, -2:Y4, -1:Y6, 0:Y6, 
Adder6: -3:Y2, -2:Y5, -1:Y7, 0:Y7, 
Adder7: -3:Y3, -2:Y6, -1:Y8, 0, 
Adder8: -4:Y1, -3:Y4, -2:Y5, -1:Y9, 
Adder9: -4:Y2, -3:Y5, -2:Y4, -1:Y10, 
Adder10: -5:Y1, -4:Y3, -3:Y6, -2:Y3, 
Adder11: -5:Y2, -4:Y4, -3:Y7, -2:Y2, 
Adder12: -5:Y3, -4:Y5, -3:Y8, -2:Y1, 
Adder13: -6:Y1, -5:Y4, -4:Y6, -3:Y9, 
Adder14: -6:Y2, -5:Y5, -4:Y7, -3:Y10, 
Adder15: -6:Y3, -5:Y6, -4:Y8, 0, 

##########################################################

30

Block1
Adder0: -1:Y1, 0:Y1, 1:Y1, 2:Y1, 
Adder1: -2:Y1, -1:Y2, 0:Y2, 1:Y2, 
Adder2: -2:Y2, -1:Y3, 0:Y3, 1:Y3, 
Adder3: -3:Y1, -2:Y3, -1:Y4, 0:Y4, 
Adder4: -4:Y1, -3:Y2, -2:Y4, -1:Y5, 
